Tienda,Periodo,Área,Prod,VtaNeta,JEq,ProdMeta,VtaNetaMeta,JEqMeta,CAPO,CAPE,ProdUnid
P114 Pro - PVH,202605,RECEPCIÓN,3223500,9548483,2.961639784946237,3320412.2177160517,8815105,2.6548224147191806,3.0,3.0,271242.3347644163
SO05 Tarapoto - PVO,202605,INVENTARIOS,3223043,5965089,1.8052284946236563,2281000.1344366423,6033535,2.645126795176692,3.0,2.0,225888.3023475716
P096 San Jorge - PVS,202605,RECEPCIÓN,3198344,3061103,0.9570900537634408,1912164.4949147252,3108347,1.6255646270843556,2.0,1.0,381897.8251448232
P223 Cusco Mall - PVH,202605,RECEPCIÓN,3182555,10472385,3.2913172043010746,2672324.5318339025,9571674,3.5817781230453205,4.0,4.0,218973.73764466634
1593 Aventura SJL - PVH,202605,INVENTARIOS,3164926,6038734,1.9080174731182795,3062747.180572807,5179972,1.6912830447961495,2.0,2.0,235483.168435401
SO04 Jaen - PVO,202605,RECEPCIÓN,3162364,7853312,2.452163978494623,2762607.147538222,7307446,2.645126795176692,3.0,3.0,211505.61077827896
P125 SJ Lurigancho - PVH,202605,RECEPCIÓN,3152420,5948222,1.887224462365591,3376170.770037035,5710060,1.6912830447961495,2.0,2.0,207928.20770674347
P144 Huacho - PVH,202605,RECEPCIÓN,3148303,4627710,1.4699059139784947,2679968.9541825806,4725905,1.763417863451128,2.0,2.0,258744.2885855104
P146 Tacna - PVH,202605,INVENTARIOS,3109606,10297327,2.9183131720430104,3405157.4173775422,9007073,2.645126795176692,3.0,3.0,274989.3355133623
P134 Centro Civico - PVH,202605,RECEPCIÓN,3105701,6074901,1.9560483870967744,2552063.0638426803,5512028,2.159832121781684,2.5,2.0,257800.72892187178
P724 Tumbes - PVH,202605,INVENTARIOS,3094282,6330247,1.8345362903225813,3468870.0504192957,6117067,1.763417863451128,2.0,2.0,220825.83055839452
P117 Izaguirre - PVH,202605,RECEPCIÓN,3087931,6293921,2.038232526881721,3547781.7922884636,6279154,1.769881609812787,2.0,2.0,219592.75700734285
P102 Chiclayo - PVH,202605,INVENTARIOS,3028139,9078707,2.7117473118279602,2731565.1972177923,7337895,2.6863335922839906,3.0,3.0,223215.4881687597
