Tienda,Periodo,Área,Prod,VtaNeta,JEq,ProdMeta,VtaNetaMeta,JEqMeta,CAPO,CAPE,ProdUnid
P145 Piura - PVH,202503,INVENTARIOS,4660948,12372905,2.654590053763441,4400869.470743566,10690632,2.811468279678264,3.0,3.0,444098.32634182525
V093 Dos de Mayo - VIV,202512,INVENTARIOS,4657636,1987978,0.4268212365591394,4478526.3720202865,2056596,0.4438911049893433,1.0,1.0,533730.4718867602
V140 Libertadores - VIV,202512,INVENTARIOS,4656176,1855931,0.39859543010752646,4922274.867934971,1990919,0.37704731243068795,1.0,1.0,529727.5985904812
P134 Centro Civico - PVH,202512,INVENTARIOS,4646290,6188467,1.3300470430107514,5427050.533360059,6460712,1.1403002039431027,3.5,3.0,530297.7843576159
P465 Sucre - PVH,202501,RECEPCIÓN,4639432,9172575,1.967997311827957,3961721.4211803004,9123322,2.315300346703138,2.5,2.0,498089.17985234153
P107 Mercaderes - PVS,202508,RECEPCIÓN,4586369,2243869,0.48924731182795705,1300062.6910418367,2524542,1.7259697516600685,1.0,1.0,721481.6749450548
P117 Izaguirre - PVH,202512,RECEPCIÓN,4585874,10566511,2.3036962365591305,5142056.756503627,11910918,2.0549191092913497,2.0,2.0,464523.11420986796
P465 Sucre - PVH,202511,RECEPCIÓN,4582178,9064918,1.974923611111111,4351562.536443523,9891318,2.083140893433796,2.0,2.0,477180.42090235563
P117 Izaguirre - PVH,202503,RECEPCIÓN,4563462,8296699,1.81807123655914,4494356.561185354,9278367,1.8460260500141112,2.0,2.0,425549.6310828044
P465 Sucre - PVH,202504,RECEPCIÓN,4559541,8872846,1.9376875,6310363.94956353,9640378,1.4060751948568213,2.5,2.0,495187.9970325453
P126 Santa Clara - PVH,202503,RECEPCIÓN,4524501,11059698,2.4444018817204305,4728739.872675677,12315081,2.338825547141391,3.0,3.0,431156.16457397986
P126 Santa Clara - PVH,202506,INVENTARIOS,4509037,8904784,1.9748750000000002,3642916.5698612095,9221193,2.4444107349785553,3.0,2.0,448972.7197923919
P465 Sucre - PVH,202509,RECEPCIÓN,4500492,7899963,1.752916666666667,9442492.911268039,9239548,0.8366395277430088,2.5,2.0,505297.43189921556
P226 Paita - PVH,202512,INVENTARIOS,4497771,6351813,1.332258064516128,3619310.8487646924,5761884,1.7549786700879637,2.0,3.0,518306.4891041166
